Pos,ID,Name,BV,SV,Team,26_xMins,26_Pts,27_xMins,27_Pts,28_xMins,28_Pts,29_xMins,29_Pts,30_xMins,30_Pts,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,Elite%
M,548,Mundle,4.9,4.9,Sunderland,20,1.03,15,0.82,18,0.91,14,0.74,17,0.94,15,0.75,13,0.74,15,0.92,15,0.67,15,0.84,0.00
M,549,Neil,4.8,4.8,Sunderland,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,550,Poveda,4.8,4.8,Sunderland,0,0.00,0,0.00,0,0.00,0,0.00,1,0.10,0,0.00,0,0.00,0,0.00,2,0.15,1,0.12,0.00
M,551,Rigg,4.7,4.7,Sunderland,29,1.29,23,1.17,20,0.96,19,0.94,16,0.81,18,0.83,19,0.95,20,1.08,20,0.79,16,0.80,0.00
M,552,Sadiki,4.9,4.9,Sunderland,88,2.60,84,2.70,78,2.41,73,2.30,74,2.39,74,2.19,74,2.43,75,2.65,73,1.91,74,2.40,0.00
M,553,Talbi,4.9,4.9,Sunderland,63,2.61,58,2.75,52,2.24,52,2.30,51,2.40,45,1.89,47,2.27,45,2.29,47,1.79,48,2.28,0.00
M,554,Ba,4.3,4.3,Sunderland,0,0.00,0,0.00,1,0.10,0,0.00,0,0.00,0,0.00,1,0.09,1,0.09,0,0.00,0,0.00,0.00
M,555,Browne,4.5,4.5,Sunderland,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,556,Ekwah,4.5,4.5,Sunderland,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,557,H.Jones,4.3,4.3,Sunderland,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,558,Matete,4.3,4.3,Sunderland,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,559,Triantis,4.4,4.4,Sunderland,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,560,Isidor,5.1,5.1,Sunderland,19,1.01,18,1.08,18,1.03,17,0.99,20,1.20,19,1.03,20,1.22,21,1.31,18,0.86,22,1.29,0.00
F,561,Mayenda,5.2,5.2,Sunderland,26,1.32,25,1.40,27,1.39,21,1.11,22,1.24,27,1.28,26,1.45,23,1.36,23,1.02,26,1.41,0.00
F,562,Abdullahi,4.2,4.2,Sunderland,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,563,Luís Hemir,4.4,4.4,Sunderland,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
